input->0100001010000100: district: 0, candidate: 1, tally: 40, tag: 0100
input->0101001010010100: district: 0, candidate: 1, tally: 41, tag: 0101
input->0110001010100100: district: 0, candidate: 1, tally: 42, tag: 0110
input->0111001010110100: district: 0, candidate: 1, tally: 43, tag: 0111
input->0000001011000100: district: 0, candidate: 1, tally: 44, tag: 0000
input->0001001011010100: district: 0, candidate: 1, tally: 45, tag: 0001
input->0010001011100100: district: 0, candidate: 1, tally: 46, tag: 0010
input->0011001011110100: district: 0, candidate: 1, tally: 47, tag: 0011
input->1101001100000100: district: 0, candidate: 1, tally: 48, tag: 1101
input->1100001100010100: district: 0, candidate: 1, tally: 49, tag: 1100
input->1111001100100100: district: 0, candidate: 1, tally: 50, tag: 1111
input->1110001100110100: district: 0, candidate: 1, tally: 51, tag: 1110
input->1001001101000100: district: 0, candidate: 1, tally: 52, tag: 1001
input->1000001101010100: district: 0, candidate: 1, tally: 53, tag: 1000
input->1011001101100100: district: 0, candidate: 1, tally: 54, tag: 1011
input->1010001101110100: district: 0, candidate: 1, tally: 55, tag: 1010
input->0101001110000100: district: 0, candidate: 1, tally: 56, tag: 0101
input->0100001110010100: district: 0, candidate: 1, tally: 57, tag: 0100
input->0111001110100100: district: 0, candidate: 1, tally: 58, tag: 0111
input->0110001110110100: district: 0, candidate: 1, tally: 59, tag: 0110
input->0001001111000100: district: 0, candidate: 1, tally: 60, tag: 0001
input->0000001111010100: district: 0, candidate: 1, tally: 61, tag: 0000
input->0011001111100100: district: 0, candidate: 1, tally: 62, tag: 0011
input->0010001111110100: district: 0, candidate: 1, tally: 63, tag: 0010
input->1010010000000100: district: 0, candidate: 1, tally: 64, tag: 1010
input->1011010000010100: district: 0, candidate: 1, tally: 65, tag: 1011
input->1000010000100100: district: 0, candidate: 1, tally: 66, tag: 1000
input->1001010000110100: district: 0, candidate: 1, tally: 67, tag: 1001
input->1110010001000100: district: 0, candidate: 1, tally: 68, tag: 1110
input->1111010001010100: district: 0, candidate: 1, tally: 69, tag: 1111
input->1100010001100100: district: 0, candidate: 1, tally: 70, tag: 1100
input->1101010001110100: district: 0, candidate: 1, tally: 71, tag: 1101
input->0010010010000100: district: 0, candidate: 1, tally: 72, tag: 0010
input->0011010010010100: district: 0, candidate: 1, tally: 73, tag: 0011
input->0000010010100100: district: 0, candidate: 1, tally: 74, tag: 0000
input->0001010010110100: district: 0, candidate: 1, tally: 75, tag: 0001
input->0110010011000100: district: 0, candidate: 1, tally: 76, tag: 0110
input->0111010011010100: district: 0, candidate: 1, tally: 77, tag: 0111
input->0100010011100100: district: 0, candidate: 1, tally: 78, tag: 0100
input->0101010011110100: district: 0, candidate: 1, tally: 79, tag: 0101
input->1011010100000100: district: 0, candidate: 1, tally: 80, tag: 1011
input->1010010100010100: district: 0, candidate: 1, tally: 81, tag: 1010
input->1001010100100100: district: 0, candidate: 1, tally: 82, tag: 1001
input->1000010100110100: district: 0, candidate: 1, tally: 83, tag: 1000
input->1111010101000100: district: 0, candidate: 1, tally: 84, tag: 1111
input->1110010101010100: district: 0, candidate: 1, tally: 85, tag: 1110
input->1101010101100100: district: 0, candidate: 1, tally: 86, tag: 1101
input->1100010101110100: district: 0, candidate: 1, tally: 87, tag: 1100
input->0011010110000100: district: 0, candidate: 1, tally: 88, tag: 0011
input->0010010110010100: district: 0, candidate: 1, tally: 89, tag: 0010
input->0001010110100100: district: 0, candidate: 1, tally: 90, tag: 0001
input->0000010110110100: district: 0, candidate: 1, tally: 91, tag: 0000
input->0111010111000100: district: 0, candidate: 1, tally: 92, tag: 0111
